level,plain_r,plain_g,plain_b,cipher_r,cipher_g,cipher_b
97,666,428,1283,1005,1028,1045
98,672,451,1244,1041,1000,1038
99,703,493,1503,1048,1050,1068
100,693,439,1350,996,1032,1037
101,606,474,1245,1053,1093,1006
102,692,459,1400,1037,963,989
103,652,524,1366,1029,1033,1037
104,729,551,1297,980,1036,1012
105,742,511,1266,1036,1051,1042
106,709,511,1183,1046,1015,1037
107,747,544,1140,1067,1071,1026
108,803,552,1314,1082,1005,1100
109,850,522,1130,1074,1095,1037
110,770,582,1171,1040,1035,1007
111,849,651,1061,1072,984,992
112,942,669,1248,1059,972,1041
113,869,636,1030,1035,1029,984
114,879,584,910,994,1045,1025
115,970,691,1068,1029,1015,1022
116,901,672,964,1094,1017,1030
117,936,684,817,1046,1023,1020
118,953,706,913,1062,987,994
119,862,730,769,1014,1045,975
120,973,802,999,1027,1114,1008
121,971,745,890,1022,1015,1012
122,1040,716,759,981,989,1115
123,1019,717,864,1056,993,1040
124,1127,809,1010,1052,996,1074
125,1099,755,817,993,938,1019
126,1121,770,940,934,1031,1044
127,976,895,993,994,1083,1086
128,1193,905,866,987,1042,1004
129,1169,815,957,991,1066,1054
130,1254,895,819,1031,1016,1050
131,1248,975,951,1026,1052,1126
132,1304,946,795,1031,1018,948
133,1259,909,862,974,1009,1021
134,1348,980,857,1033,1063,1055
135,1312,1050,990,1005,1007,948
136,1338,1019,918,1077,999,1053
137,1319,1013,944,1038,1059,1108
138,1422,1049,938,1038,1081,1004
139,1391,1142,973,1005,1034,1065
140,1541,1155,1068,1054,1020,1019
141,1538,1104,878,1005,1015,1048
142,1603,1160,1041,1008,1021,1074
143,1628,1194,1040,1013,994,970
144,1611,1207,1062,997,988,1076
145,1616,1262,1030,1006,1007,1065
146,1606,1215,880,1086,1010,1021
147,1644,1238,1037,982,992,1007
148,1708,1229,943,1013,1008,993
149,1679,1260,918,1030,1078,979
150,1737,1390,1005,1043,995,1034
151,1582,1294,895,1032,1010,1065
152,1780,1466,1063,1002,1032,1050
153,1701,1445,969,1003,974,978
154,1677,1487,891,1046,1077,1021
155,1703,1482,881,1035,1026,1032
156,1762,1636,932,1034,982,1020
157,1687,1516,811,1032,949,1027
158,1743,1659,799,1005,977,1009
159,1726,1868,888,1022,961,1054
160,1815,2015,745,996,1018,995
161,1715,2005,783,973,1061,1020
162,1714,2054,679,995,986,967
163,1765,2277,796,981,983,1039
164,1767,2270,717,1049,1017,1007
165,1790,2352,721,1010,1026,995
166,1814,2448,824,993,1030,978
167,1816,2583,778,948,1018,978
168,1878,2459,814,1039,991,982
169,1957,2388,767,1024,1071,1056
170,1926,2372,746,1021,1032,994
171,2114,2352,860,1011,1051,1049
172,2327,2349,949,1005,1032,988
173,2567,2126,800,1014,997,1012
174,2864,2161,928,1030,1047,1038
175,2916,1927,840,996,976,1004
176,3338,2161,1131,1042,960,1057
177,2935,2021,1000,994,1032,1020
178,3049,1981,957,1038,1068,1002
179,3093,2047,1193,1000,1043,993
180,3094,2075,1161,965,1066,1072
181,3216,1942,1182,1012,1026,1072
182,3249,2238,1438,1081,1035,1013
183,2826,2265,1439,1012,1068,1054
184,2822,2577,2042,1040,1015,1027
185,2276,2644,2015,963,1012,1038
186,2182,2757,2049,967,1065,997
187,2117,2829,2372,1050,1038,1043
188,2121,3153,2766,1043,1023,1029
189,2365,3017,2499,1028,1019,1030
190,2218,3142,2748,995,1085,1050
191,1970,2981,2435,1028,1023,993
192,1983,3494,3058,979,1035,1019
193,1576,3082,2843,1014,1083,1011
194,1392,3043,2480,1017,1057,1012
195,1379,3180,3043,1032,1063,1013
196,1448,2999,2808,994,1013,1025
197,1425,2879,2783,1053,1034,1048
198,1528,2910,2824,993,990,1033
199,1722,2932,2817,984,1003,1035
200,1841,2648,2454,1075,1042,1028
201,2005,2525,2420,1092,1079,1001
202,2094,2317,2204,1050,994,1012
203,2184,2261,2326,1017,994,1064
204,2264,2159,3535,1021,994,986
205,2391,1862,4505,1015,983,985
206,2509,1788,6304,1003,1092,1041
207,2462,1892,6071,977,1041,1035
208,2501,2178,6024,1028,1002,1036
209,2593,4326,5910,1053,1049,1004
210,2656,7947,3980,986,994,1059
211,2671,6565,2617,954,1034,985
212,2476,4460,2495,1049,962,1038
213,2285,4444,4078,1022,1061,1030
214,2266,3937,2436,1031,977,1021
215,1926,2718,1561,973,1048,1048
216,1983,1822,1798,1070,1082,986
217,1670,1287,1293,975,963,958
218,1467,1194,457,978,1022,1035
219,1310,1208,320,1024,1080,1034
220,1235,1222,278,1055,1017,994
221,1782,1115,176,1009,981,1027
222,3989,1096,197,969,1042,1036
223,3224,960,69,1079,982,1035
224,1613,1032,69,1041,1048,1047
225,686,1108,34,1077,1009,1009
226,490,1747,14,979,1009,1003
227,358,4348,0,1026,1007,1038
228,270,3055,0,1042,1019,1034
229,161,923,0,1096,991,1054
230,106,459,0,981,1034,1043
231,100,365,0,1094,1030,1012
232,67,356,0,1079,1025,998
233,31,269,0,1000,1004,1051
234,18,179,0,1048,1071,1048
235,5,114,0,1042,948,1005
236,10,67,0,1025,1047,978
237,9,30,0,1014,1001,1017
238,1,14,0,1037,1042,1032
239,2,12,0,1027,1005,1074
240,0,13,0,1087,1043,1074
241,6,14,0,1035,1065,1038
242,0,8,0,1025,980,1011
243,5,0,0,1063,1057,1043
244,3,0,0,1006,1047,997
245,3,0,0,1012,1052,1054
246,3,0,0,1070,994,1023
247,4,0,0,1030,1033,1023
248,5,0,0,1030,1043,993
249,6,0,0,1069,1017,1032
250,4,0,0,1004,1031,1072
251,10,0,0,1031,1090,1020
252,9,0,0,1016,1028,984
253,11,0,0,987,963,980
254,5,0,0,1026,1009,999
255,6,0,0,960,959,1100
