filename,volume,name,height,width,channels
1.2.09.tiff,textures,1.2.09,512,512,1
1.2.10.tiff,textures,1.2.10,512,512,1
1.2.11.tiff,textures,1.2.11,512,512,1
1.2.12.tiff,textures,1.2.12,512,512,1
1.2.13.tiff,textures,1.2.13,512,512,1
1.3.01.tiff,textures,1.3.01,1024,1024,1
1.3.02.tiff,textures,1.3.02,1024,1024,1
1.3.03.tiff,textures,1.3.03,1024,1024,1
1.3.04.tiff,textures,1.3.04,1024,1024,1
1.3.05.tiff,textures,1.3.05,1024,1024,1
1.3.06.tiff,textures,1.3.06,1024,1024,1
1.3.07.tiff,textures,1.3.07,1024,1024,1
1.3.08.tiff,textures,1.3.08,1024,1024,1
1.3.09.tiff,textures,1.3.09,1024,1024,1
1.3.10.tiff,textures,1.3.10,1024,1024,1
1.3.11.tiff,textures,1.3.11,1024,1024,1
1.3.12.tiff,textures,1.3.12,1024,1024,1
1.3.13.tiff,textures,1.3.13,1024,1024,1
1.4.01.tiff,textures,1.4.01,1024,1024,1
1.4.02.tiff,textures,1.4.02,1024,1024,1
1.4.03.tiff,textures,1.4.03,1024,1024,1
1.4.04.tiff,textures,1.4.04,1024,1024,1
1.4.05.tiff,textures,1.4.05,1024,1024,1
1.4.06.tiff,textures,1.4.06,1024,1024,1
1.4.07.tiff,textures,1.4.07,1024,1024,1
1.4.08.tiff,textures,1.4.08,1024,1024,1
1.4.09.tiff,textures,1.4.09,1024,1024,1
1.4.10.tiff,textures,1.4.10,1024,1024,1
1.4.11.tiff,textures,1.4.11,1024,1024,1
1.4.12.tiff,textures,1.4.12,1024,1024,1
1.5.01.tiff,textures,1.5.01,512,512,1
1.5.02.tiff,textures,1.5.02,512,512,1
1.5.03.tiff,textures,1.5.03,512,512,1
1.5.04.tiff,textures,1.5.04,512,512,1
1.5.05.tiff,textures,1.5.05,512,512,1
1.5.06.tiff,textures,1.5.06,512,512,1
1.5.07.tiff,textures,1.5.07,512,512,1
texmos1.p512.tiff,textures,texmos1.p512,512,512,1
texmos2.p512.tiff,textures,texmos2.p512,512,512,1
texmos2.s512.tiff,textures,texmos2.s512,512,512,1
texmos3.p512.tiff,textures,texmos3.p512,512,512,1
texmos3b.p512.tiff,textures,texmos3b.p512,512,512,1
texmos3.s512.tiff,textures,texmos3.s512,512,512,1
6.1.01.tiff,sequences,6.1.01,256,256,1
6.1.02.tiff,sequences,6.1.02,256,256,1
6.1.03.tiff,sequences,6.1.03,256,256,1
6.1.04.tiff,sequences,6.1.04,256,256,1
6.1.05.tiff,sequences,6.1.05,256,256,1
6.1.06.tiff,sequences,6.1.06,256,256,1
6.1.07.tiff,sequences,6.1.07,256,256,1
6.1.08.tiff,sequences,6.1.08,256,256,1
6.1.09.tiff,sequences,6.1.09,256,256,1
6.1.10.tiff,sequences,6.1.10,256,256,1
6.1.11.tiff,sequences,6.1.11,256,256,1
6.1.12.tiff,sequences,6.1.12,256,256,1
6.1.13.tiff,sequences,6.1.13,256,256,1
6.1.14.tiff,sequences,6.1.14,256,256,1
6.1.15.tiff,sequences,6.1.15,256,256,1
6.1.16.tiff,sequences,6.1.16,256,256,1
6.2.01.tiff,sequences,6.2.01,256,256,1
6.2.02.tiff,sequences,6.2.02,256,256,1
6.2.03.tiff,sequences,6.2.03,256,256,1
6.2.04.tiff,sequences,6.2.04,256,256,1
6.2.05.tiff,sequences,6.2.05,256,256,1
6.2.06.tiff,sequences,6.2.06,256,256,1
6.2.07.tiff,sequences,6.2.07,256,256,1
6.2.08.tiff,sequences,6.2.08,256,256,1
6.2.09.tiff,sequences,6.2.09,256,256,1
6.2.10.tiff,sequences,6.2.10,256,256,1
6.2.11.tiff,sequences,6.2.11,256,256,1
6.2.12.tiff,sequences,6.2.12,256,256,1
6.2.13.tiff,sequences,6.2.13,256,256,1
6.2.14.tiff,sequences,6.2.14,256,256,1
6.2.15.tiff,sequences,6.2.15,256,256,1
6.2.16.tiff,sequences,6.2.16,256,256,1
6.2.17.tiff,sequences,6.2.17,256,256,1
6.2.18.tiff,sequences,6.2.18,256,256,1
6.2.19.tiff,sequences,6.2.19,256,256,1
6.2.20.tiff,sequences,6.2.20,256,256,1
6.2.21.tiff,sequences,6.2.21,256,256,1
6.2.22.tiff,sequences,6.2.22,256,256,1
6.2.23.tiff,sequences,6.2.23,256,256,1
6.2.24.tiff,sequences,6.2.24,256,256,1
6.2.25.tiff,sequences,6.2.25,256,256,1
6.2.26.tiff,sequences,6.2.26,256,256,1
6.2.27.tiff,sequences,6.2.27,256,256,1
6.2.28.tiff,sequences,6.2.28,256,256,1
6.2.29.tiff,sequences,6.2.29,256,256,1
6.2.30.tiff,sequences,6.2.30,256,256,1
6.2.31.tiff,sequences,6.2.31,256,256,1
6.2.32.tiff,sequences,6.2.32,256,256,1
6.3.01.tiff,sequences,6.3.01,256,256,1
6.3.02.tiff,sequences,6.3.02,256,256,1
6.3.03.tiff,sequences,6.3.03,256,256,1
6.3.04.tiff,sequences,6.3.04,256,256,1
6.3.05.tiff,sequences,6.3.05,256,256,1
6.3.06.tiff,sequences,6.3.06,256,256,1
6.3.07.tiff,sequences,6.3.07,256,256,1
6.3.08.tiff,sequences,6.3.08,256,256,1
6.3.09.tiff,sequences,6.3.09,256,256,1
6.3.10.tiff,sequences,6.3.10,256,256,1
6.3.11.tiff,sequences,6.3.11,256,256,1
motion01.512.tiff,sequences,motion01.512,512,512,1
motion02.512.tiff,sequences,motion02.512,512,512,1
motion03.512.tiff,sequences,motion03.512,512,512,1
motion04.512.tiff,sequences,motion04.512,512,512,1
motion05.512.tiff,sequences,motion05.512,512,512,1
motion06.512.tiff,sequences,motion06.512,512,512,1
motion07.512.tiff,sequences,motion07.512,512,512,1
motion08.512.tiff,sequences,motion08.512,512,512,1
motion09.512.tiff,sequences,motion09.512,512,512,1
motion10.512.tiff,sequences,motion10.512,512,512,1
